geoName,economy,abortion,immigration,Race,health care
Alabama,11,12,5,59,13
Alaska,9,9,5,65,12
Arizona,13,10,11,49,17
Arkansas,12,11,7,59,11
California,16,9,13,49,13
Colorado,14,9,10,52,15
Connecticut,13,9,13,45,20
Delaware,16,11,7,47,19
District of Columbia,13,10,23,32,22
Florida,12,10,11,51,16
Georgia,16,15,8,50,11
Hawaii,21,10,10,43,16
Idaho,12,11,7,52,18
Illinois,13,12,11,48,16
Indiana,14,10,6,55,15
Iowa,13,11,8,51,17
Kansas,12,13,6,52,17
Kentucky,12,11,7,54,16
Louisiana,12,14,6,53,15
Maine,12,13,6,50,19
Maryland,13,11,13,46,17
Massachusetts,14,9,12,45,20
Michigan,14,12,7,50,17
Minnesota,14,11,9,47,19
Mississippi,12,14,5,52,17
Missouri,11,12,6,53,18
Montana,10,12,7,56,15
Nebraska,11,9,8,54,18
Nevada,12,10,12,53,13
New Hampshire,12,12,8,51,17
New Jersey,16,10,16,42,16
New Mexico,11,11,11,50,17
New York,14,10,15,42,19
North Carolina,11,10,9,53,17
North Dakota,23,11,6,45,15
Ohio,11,12,7,52,18
Oklahoma,12,12,8,53,15
Oregon,13,12,9,50,16
Pennsylvania,12,11,9,51,17
Rhode Island,15,17,12,42,14
South Carolina,14,12,7,53,14
South Dakota,15,9,6,54,16
Tennessee,12,11,6,57,14
Texas,14,11,12,49,14
Utah,11,10,8,56,15
Vermont,12,9,7,59,13
Virginia,15,11,11,50,13
Washington,14,11,11,49,15
West Virginia,9,13,5,57,16
Wisconsin,11,9,7,44,29
Wyoming,13,9,9,57,12
