geoName,economy,abortion,immigration,Race,health care
Alabama,12,12,5,59,12
Alaska,18,8,4,54,16
Arizona,15,8,10,47,20
Arkansas,13,8,7,56,16
California,17,8,15,44,16
Colorado,14,8,11,48,19
Connecticut,14,7,12,47,20
Delaware,13,10,12,50,15
District of Columbia,17,7,20,38,18
Florida,14,8,13,44,21
Georgia,17,9,10,49,15
Hawaii,17,6,9,48,20
Idaho,13,6,9,49,23
Illinois,13,9,13,45,20
Indiana,14,9,8,52,17
Iowa,14,5,11,51,19
Kansas,15,8,10,50,17
Kentucky,11,8,6,59,16
Louisiana,10,10,7,58,15
Maine,14,6,6,51,23
Maryland,12,9,13,47,19
Massachusetts,15,8,13,43,21
Michigan,15,10,8,46,21
Minnesota,14,7,9,47,23
Mississippi,14,11,5,56,14
Missouri,14,9,8,48,21
Montana,17,10,4,44,25
Nebraska,15,7,11,45,22
Nevada,13,11,14,45,17
New Hampshire,14,5,8,52,21
New Jersey,17,8,14,44,17
New Mexico,13,10,9,50,18
New York,15,9,15,41,20
North Carolina,12,8,8,51,21
North Dakota,29,7,10,41,13
Ohio,14,9,8,48,21
Oklahoma,16,9,6,51,18
Oregon,16,7,9,49,19
Pennsylvania,14,10,9,49,18
Rhode Island,14,6,13,48,19
South Carolina,14,10,8,52,16
South Dakota,15,6,7,54,18
Tennessee,13,9,7,56,15
Texas,16,8,15,44,17
Utah,13,7,12,52,16
Vermont,13,8,8,56,15
Virginia,16,8,11,49,16
Washington,13,8,13,48,18
West Virginia,13,7,3,58,19
Wisconsin,13,6,7,44,30
Wyoming,14,9,6,50,21
