geoName,economy,abortion,immigration,Race,health care
Alabama,10,9,7,58,16
Alaska,13,7,10,52,18
Arizona,16,9,12,45,18
Arkansas,13,6,9,59,13
California,17,7,15,47,14
Colorado,12,5,11,56,16
Connecticut,11,7,9,54,19
Delaware,8,11,9,53,19
District of Columbia,16,7,27,30,20
Florida,13,9,15,43,20
Georgia,17,10,11,49,13
Hawaii,16,6,12,51,15
Idaho,11,6,10,56,17
Illinois,12,8,11,53,16
Indiana,14,8,7,56,15
Iowa,10,6,10,55,19
Kansas,14,7,10,51,18
Kentucky,10,8,8,58,16
Louisiana,12,11,8,53,16
Maine,9,6,7,58,20
Maryland,11,10,13,48,18
Massachusetts,9,5,12,57,17
Michigan,8,9,8,55,20
Minnesota,9,7,10,52,22
Mississippi,9,10,11,59,11
Missouri,11,8,7,54,20
Montana,12,9,6,59,14
Nebraska,12,8,8,53,19
Nevada,15,7,12,51,15
New Hampshire,11,9,7,58,15
New Jersey,14,8,16,47,15
New Mexico,12,9,11,50,18
New York,11,7,15,51,16
North Carolina,10,7,9,55,19
North Dakota,29,7,8,46,10
Ohio,10,8,7,54,21
Oklahoma,12,9,9,51,19
Oregon,11,7,10,55,17
Pennsylvania,10,8,9,56,17
Rhode Island,10,5,13,55,17
South Carolina,9,8,6,62,15
South Dakota,7,9,6,59,19
Tennessee,10,8,7,60,15
Texas,14,9,15,46,16
Utah,13,7,9,56,15
Vermont,8,4,4,68,16
Virginia,13,8,12,51,16
Washington,12,7,13,53,15
West Virginia,9,8,6,57,20
Wisconsin,8,6,6,54,26
Wyoming,12,5,8,55,20
